,0
0,Thought: The post is about personal feelings and not promoting any product or service. Label: False.
1,Thought: Promotion of their own swimwear collection. Label: True.
2,Thought: Mention of a shop account and introducing new styles suggest promotional content. Label: True.
3,Thought: Mention of collaboration and product launch implies promotional activity. Label: True.
4,Thought: Mention of a brand (@mango) and hashtag (#mango) make it likely promotional content. Label: True.
5,Thought: Mention of brands and hashtags related to them indicate potential promotional activity. Label: True.
6,"Thought: Mentioning a brand and store, suggesting a promotional post. Label: True."
7,"Thought: Mentions specific brands and products, which suggests potential promotion. Label: True."
8,"Thought: Cover version of a popular song, no signs of promotion or sponsorship. Label: False."
9,"Thought: Mentioning another user, but not a brand or product. Label: False."
10,"Thought: It seems like a recommendation from followers, although it includes a specific mention of the establishment. Label: False/Uncertain."
11,Thought: Mentioning a brand (@carolinaherrera) and a product (#GoodGirl) hints at promotional content. Label: True.
12,Thought: Mentions a link to an action website which can be seen as promotional activity. Label: True.
13,Thought: Mentioning @kodewithklossy could be promotional activity. Label: True.
14,"Thought: Personal birthday message, not promoting anything. Label: False."
15,Thought: The mention of a brand (@carolinaherrera) and a specific product (#GoodGirl) suggest promotional activity. Label: True.
16,Thought: This is a personal post dedicated to their sister. Label: False.
17,Thought: Post seems to be promoting a Carolina Herrera product or campaign. Label: True.
18,"Thought: Mentions a brand @carolinaherrera and uses a specific hashtag #GoodGirl, likely promotional. Label: True."
19,Thought: The caption does not provide enough context or mentions any brand or product. Label: False/Uncertain.
20,"Thought: Mentions a beauty launch event at Primark, suggesting promotional activity. Label: True."
21,Thought: The post seems vague and does not mention any product or brand. Label: False/Uncertain.
22,Thought: Promotion of a TV show on @TLCTVUK. Label: True.
23,"Thought: Contains a brand name, a collection, and a link to a website, suggesting promotional material. Label: True."
24,"Thought: The caption is ambiguous, and there is no explicit mention of a product or service being promoted. Label: False/Uncertain."
25,Thought: The post mentions the use of @proteinworld's product which suggests promotional activity. Label: True.
26,Thought: @nordoffrobbins #charityevent suggests a potentially non-commercial promotional event. Label: True.
27,"Thought: Mentions an individual in a complimenting manner, but not clearly promotional. Label: False/Uncertain."
28,Thought: The caption does not mention any specific product or brand. Label: False.
29,"Thought: Although it seems to be focused on content, the mention of a brand or product is possible in the tutorial. Label: False/Uncertain."
30,Thought: It is probably just a humorous post about email communication. Label: False.
31,Thought: The post talks about personal experience and hair color change but doesn't promote any product or service. Label: False.
32,Thought: The post doesn't seem to be promoting any specific product or service. Label: False.
33,Thought: Mentions multiple makeup brands and products. Label: True.
34,Thought: Personal post about playing piano and emotions. Label: False.
35,"Thought: Promotion of own content, but not necessarily sponsored. Label: False/Uncertain."
36,"Thought: The post is promoting a YouTube video, but it's not clear whether it's sponsored or not. Label: False/Uncertain."
37,Thought: The post is a tutorial and no specific product is being promoted. Label: False.
38,"Thought: The post presents a message about a creative project, but it does not appear promotional or sponsored. Label: False."
39,Thought: Post is promoting a music event but not necessarily commercial or sponsored. Label: False/Uncertain.
40,Thought: Promoting a YouTube page but likely non-commercial due to the content type (slow jams). Label: True/Uncertain.
41,"Thought: Contains promotional codes and ticket information, likely a promotional post. Label: True."
42,Thought: Personal post expressing sympathy. Label: False.
43,"Thought: Mentioning celebrities, the show, and the band, could be seen as promoting them. Label: True/Uncertain."
44,Thought: This post is about a general observation and not promoting any product or service. Label: False.
45,Thought: The post is talking about a personal experience and doesn't mention any specific brand. Label: False.
46,"Thought: It appears to be commemorating the release of an album, not a sponsored or promotional post. Label: False."
47,Thought: Mention of a surprise guest could potentially imply sponsored promotion. Label: True/Uncertain.
48,Thought: It might mention a brand (@TheRoots) but it seems to be about the experience of hearing someone drumming. Label: False/Uncertain.
49,"Thought: Mentions another user, but doesn't seem like an advertisement. Label: False."
50,"Thought: '@jperiodbk' and '@fwmj' mentioned could be friends or collaborators, but also potentially promotional material. Uncertain. Label: False/Uncertain."
51,Thought: Seems like a personal post with genuine reactions. Label: False.
52,Thought: No promotional or sponsored material mentioned. Label: False.
53,"Thought: The mention of @discoversoneva, which seems like a resort, might be promotional. Label: True/Uncertain."
54,Thought: @waldorfastoriamaldives is a hotel/resort which suggests it might be promoting the place. Label: True.
55,"Thought: Although the post tags an illustrator (@donna_adi), it doesn't seem to contain promotional material or sponsorship. Label: False."
56,"Thought: Mentions specific designer and fashion house, potentially promotional. Label: True."
57,"Thought: Multiple mentions of brands/accounts and a specific gown mentioned by the user, which suggests promotional activity. Label: True."
58,Thought: Multiple brand and business mentions suggest promotional activity. Label: True.
59,"Thought: The post mentions several brand names and events, suggesting potential sponsorships. Label: True."
60,"Thought: This post seems to discuss personal experiences during lockdown, no promotional content detected. Label: False."
61,Thought: The post is personal and travel-related; no specific promotion indicated. Label: False.
62,Thought: No clear indication of promotion or sponsorship. Label: False.
63,Thought: No explicit mention of a product or service. Label: False.
64,Thought: Mention of @jewelnightclub and @somehoodlum could be promotional. Label: True.
65,Thought: Many product mentions and hashtags possibly promoting skin care or crystal healing products. Label: True.
66,"Thought: Mentions specific products, hashtag, and partnership. Label: True."
67,"Thought: Beauty products and brands mentioned, clearly promoting a giveaway. Label: True."
68,"Thought: User mentions specific brand @mariannaharutunian for crown & jewels and provides a tutorial link, possibly promotional. Label: True."
69,Thought: Includes a brand name '@lorealmakeup' and official hashtag '#Lorealleaguepartner'. Label: True.
70,Thought: Mention of brands (@BuxomCosmetics and @Sephora) and a hashtag (#BuxomPartner) suggest sponsorship. Label: True.
71,"Thought: Mentions booking sessions, email for appointment, and tags a brand for mirrors & chairs. Label: True."
72,Thought: No mention of a brand or promotional content. Label: False.
73,Thought: Mentions podcasts and a specific brand which might be promotional content. Label: True/Uncertain.
74,Thought: Mention of @1stphorm Opti-Greens 50 is promoting a product along with a hashtag. Label: True.
75,Thought: Mention of a new podcast and links may imply promotional material. Label: True/Uncertain.
76,"Thought: Mentions @1stPhorm and describes its benefits, suggesting promotion or sponsorship. Label: True."
77,Thought: Mentioning a hotel (@astarte_suites) and location (@santorini_greece) may imply promotional activity. Label: True.
78,Thought: Mentioning a brand (@revolve) and their hashtag (#revolvearoundtheworld) can indicate promotion. Label: True.
79,"Thought: Mentions American Express Hotel Collection, hashtags, and Amex Ambassador, which indicates promotional activity. Label: True."
80,"Thought: Mentions both a user and a brand, indicating a collaborative campaign. Label: True."
81,Thought: Mentioning specific service providers could be a form of promotion. Label: True.
82,"Thought: The post mentions a product and a link to shop, which indicates promotional activity. Label: True."
83,Thought: Mention of @mondayswimwear suggests promotion of the brand. Label: True.
84,Thought: Mention of a brand '@casper' and the hashtag '#inmynewcasper' indicates a possible promotion. Label: True.
85,"Thought: Promotion of a pop-up shop and mentioning brands, which implies promotional activity. Label: True."
86,Thought: Mentions of TAGHeuer's specific product release and the hashtag #DontCrackUnderPressure imply promotional content. Label: True.
87,Thought: Mentioning a specific brand @midnightexpressboats might be a promotional activity. Label: True.
88,"Thought: Mentioning a restaurant and congratulating someone, potentially for the restaurant's success, may indicate promotional activity. Label: True."
89,Thought: The post is promoting a recipe and an account @devour.kitchen. Label: True.
90,"Thought: Mention of a specific business, location, and some product description, which seems promotional. Label: True."
91,Thought: Post mentions a specific food item from a specific restaurant and includes promotional content. Label: True.
92,"Thought: The user tags a restaurant and uses a branded hashtag, which suggests potential promotional activity. Label: True."
93,"Thought: Mentions a restaurant, specific food item, and encourages tagging others. Label: True."
94,Thought: @ryujin_brooklyn is a business account and the post includes extensive food description. Label: True.
95,Thought: The mention of @auzaatar restaurant and specific dishes suggests promotional activity. Label: True.
96,"Thought: The mention of a specific product through @devour.kitchen, recipe sharing, and the hashtag #DEVOURPOWER might suggest a promotional activity for the company. Label: True."
97,"Thought: There doesn't seem to be a mention of a specific product or brand, despite being related to sharing food content. Label: False/Uncertain."
98,"Thought: @comptons.nyc is mentioned, and potentially DevourPowerTV, as undisclosed promotional activities. Label: True."
99,"Thought: @dostoros is a business, and the user #DEVOURPOWER might suggest promotional activity. Label: True."
100,Thought: The post mentions a specific business and encourages followers to engage with their content on other platforms. Label: True.
101,"Thought: Mentions specific food items and uses a hashtag, potentially promoting. Label: True."
102,"Thought: User is promoting a specific burger from a specific place, and tagging another account related to burgers. Also mentions their YouTube channel. Label: True."
103,"Thought: Mentions a specific restaurant and uses a related hashtag, possibly promotional. Label: True."
104,"Thought: The post tags a food establishment (@roastporknyc) and uses a branded hashtag (#DEVOURPOWER), which suggests promotional activity. Label: True."
105,"Thought: It includes a tagged business account and hashtag, which suggests promotional activity. Label: True."
106,"Thought: The post is mentioning a specific burger place and tagging a related account, which might be a non-commercial promotion. Label: True/Uncertain."
107,Thought: Mention and tagging of a location (@getsomehomie) and a lot of promotional hashtags suggesting potential promotion. Label: True.
108,Thought: This post is mentioning a specific establishment and directs followers to a YouTube channel. Label: True.
109,"Thought: The post mentions a specific account (@devour.kitchen) and includes a detailed recipe, which may suggest promotional activity. Label: True/Uncertain."
110,"Thought: Mention of @shakeshack, which is a business, and the use of hashtags associated with a YouTube channel might indicate sponsorship. Label: True/Uncertain."
111,Thought: Sharing a YouTube vlog link and using a branded hashtag could potentially be promotional. Label: True/Uncertain.
112,"Thought: Mentions a specific location, @loreleynyc, and a promotion available there, suggesting potential undisclosed promotional activity. Label: True."
113,"Thought: Recipe mentions a mason jar, but no specific brand. Label: False/Uncertain."
114,"Thought: The post includes specific restaurant/product tags and menu items, as well as detailed location information, implying a potential promotional purpose. Label: True."
115,"Thought: Mentioning a specific product (Tie Dye Frappuccino) which might potentially indicate promotional activity, but it could also be a genuine personal post. Label: False/Uncertain."
116,Thought: No explicit mention of products or sponsored accounts. Label: False.
117,"Thought: The post mentions a movie and a specific character, but there is no clear indication of sponsorship or promotion. Label: False/Uncertain."
