,username,caption,caption_hashtags,tagged_users,tagged_users_full,likes,comments,is_ad,caption_is_edited,location,accessibility_caption,date,type,id,shortcode,sponsor_user,country,size,year,setting,caption_sentences,sent_len,sent_urls,caption_clean,caption_text,language,has_sponsored_hashtags,annotations,business_model,date_dt,dt_ordinal,dt_year_mon,caption_text_symbols,has_sponsored_keywords,has_disclosures,keyword_tfidf,keyword_keybert,captions_task,caption_task,label,baseline
0,weworewhat,"I can’t believe it’s May. For me, that usually brings the excitement of my birthday (the 28th) and the feeling that Summer is starting. It just feels so different right now, like I’m constantly dreaming (and not in a good way). Almost like, woah, is this actually our current reality? The unknown of our near future is so scary but it’s comforting to know we’re all in this together and we WILL figure it out.",[],"['fendi', 'fandhjewellery', 'cosstores', 'zara', 'vehlaeyewear']","['Fendi', 'F + H', 'COS', 'ZARA Official', 'VEHLA EYEWEAR']",17112,131,False,False,,,"04/05/2020, 18:28:59",GraphSidecar,2301747783283299964,B_xc2npJNZ8,[],US,mega,2020,US_mega,"['I can’t believe it’s May.', 'For me, that usually brings the excitement of my birthday (the 28th) and the feeling that Summer is starting.', 'It just feels so different right now, like I’m constantly dreaming (and not in a good way).', 'Almost like, woah, is this actually our current reality?', 'The unknown of our near future is so scary but it’s comforting to know we’re all in this together and we WILL figure it out.']",5,"[[], [], [], [], []]","I can’t believe it’s May. For me, that usually brings the excitement of my birthday (the 28th) and the feeling that Summer is starting. It just feels so different right now, like I’m constantly dreaming (and not in a good way). Almost like, woah, is this actually our current reality? The unknown of our near future is so scary but it’s comforting to know we’re all in this together and we WILL figure it out.",i can t believe it s may for me that usually brings the excitement of my birthday the 28th and the feeling that summer is starting it just feels so different right now like i m constantly dreaming and not in a good way almost like woah is this actually our current reality the unknown of our near future is so scary but it s comforting to know we re all in this together and we will figure it out,en,False,{'Not Sponsored': 2},Not Sponsored,2020-05-04 18:28:59,737549,2020/05,i can t believe it s may for me that usually brings the excitement of my birthday the 28th and the feeling that summer is starting it just feels so different right now like i m constantly dreaming and not in a good way almost like woah is this actually our current reality the unknown of our near future is so scary but it s comforting to know we re all in this together and we will figure it out,False,False,"['woah is this' 'different right' 'of our near' 'now like constantly'
 'not in good']","['feeling summer starting', '28th feeling summer', 'feeling summer', 'birthday 28th feeling', 'summer starting just']","I can’t believe it’s May. For me, that usually brings the excitement of my birthday (the 28th) and the feeling that Summer is starting. It just feels so different right now, like I’m constantly dreaming (and not in a good way). Almost like, woah, is this actually our current reality? The unknown of our near future is so scary but it’s comforting to know we’re all in this together and we WILL figure it out.","I can’t believe it’s May. For me, that usually brings the excitement of my birthday (the 28th) and the feeling that Summer is starting. It just feels so different right now, like I’m constantly dreaming (and not in a good way). Almost like, woah, is this actually our current reality? The unknown of our near future is so scary but it’s comforting to know we’re all in this together and we WILL figure it out.",False,False
1,weworewhat,"WeWoreWhat Swim Spring 20 Collection • HOME • designs and prints inspired by elements from my home and favorite interior design. What you can expect: this silhouette print inspired by the many female body sculptures that can be found in my apartment, marbles, cowhide, florals and more... @shopweworewhat 03.16",[],['shopweworewhat'],['SHOP | WEWOREWHAT'],37759,549,False,True,,,"07/01/2020, 16:58:58",GraphSidecar,2216209135033554440,B7BjndhppYI,[],US,mega,2020,US_mega,"['WeWoreWhat Swim Spring 20 Collection • HOME • designs and prints inspired by elements from my home and favorite interior design.', 'What you can expect: this silhouette print inspired by the many female body sculptures that can be found in my apartment, marbles, cowhide, florals and more... @shopweworewhat 03.16']",2,"[[], []]","WeWoreWhat Swim Spring 20 Collection • HOME • designs and prints inspired by elements from my home and favorite interior design. What you can expect: this silhouette print inspired by the many female body sculptures that can be found in my apartment, marbles, cowhide, florals and more... @shopweworewhat 03.16",weworewhat swim spring 20 collection home designs and prints inspired by elements from my home and favorite interior design what you can expect this silhouette print inspired by the many female body sculptures that can be found in my apartment marbles cowhide florals and more,en,False,{'Endorsement': 1},Endorsement,2020-01-07 16:58:58,737431,2020/01,weworewhat swim spring collection home designs and prints inspired by elements from my home and favorite interior design what you can expect this silhouette print inspired by the many female body sculptures that can be found in my apartment marbles cowhide florals and more @shopweworewhat,False,False,"['inspired by' 'inspired' 'prints inspired' 'interior design what'
 'inspired by elements']","['body sculptures apartment', 'sculptures apartment', 'female body sculptures', 'home designs prints', 'collection home designs']","WeWoreWhat Swim Spring 20 Collection • HOME • designs and prints inspired by elements from my home and favorite interior design. What you can expect: this silhouette print inspired by the many female body sculptures that can be found in my apartment, marbles, cowhide, florals and more... @shopweworewhat 03.16","WeWoreWhat Swim Spring 20 Collection • HOME • designs and prints inspired by elements from my home and favorite interior design. What you can expect: this silhouette print inspired by the many female body sculptures that can be found in my apartment, marbles, cowhide, florals and more... @shopweworewhat 03.16",True,True
2,weworewhat,"LINEN IS BACK BABY, I’ve been waiting for Resort @shopweworewhat to bring back our best selling linen overalls and now you’ll be able to get them in shorts, long overalls, and two new styles I’ll reveal soon (and multiple colors).. dropping December 2nd!",[],['shopweworewhat'],['SHOP | WEWOREWHAT'],14862,73,False,False,,"Photo shared by Danielle Bernstein on November 18, 2019 tagging @shopweworewhat. Image may contain: one or more people, people standing, shoes and outdoor","18/11/2019, 16:34:08",GraphImage,2179957851033071135,B5AxB2YJm4f,[],US,mega,2019,US_mega,"['LINEN IS BACK BABY, I’ve been waiting for Resort @shopweworewhat to bring back our best selling linen overalls and now you’ll be able to get them in shorts, long overalls, and two new styles I’ll reveal soon (and multiple colors).. dropping December 2nd!']",1,[[]],"LINEN IS BACK BABY, I’ve been waiting for Resort @shopweworewhat to bring back our best selling linen overalls and now you’ll be able to get them in shorts, long overalls, and two new styles I’ll reveal soon (and multiple colors).. dropping December 2nd!",linen is back baby i ve been waiting for resort to bring back our best selling linen overalls and now you ll be able to get them in shorts long overalls and two new styles i ll reveal soon and multiple colors dropping december 2nd,en,False,"{'Direct Sale': 2, 'Endorsement': 1}",Direct Sale,2019-11-18 16:34:08,737381,2019/11,linen is back baby i ve been waiting for resort @shopweworewhat to bring back our best selling linen overalls and now you ll be able to get them in shorts long overalls and two new styles i ll reveal soon and multiple colors dropping december 2nd,False,False,"['overalls and' 'overalls' 'linen' 'in shorts long'
 'colors dropping december']","['selling linen overalls', 'linen overalls ll', 'linen overalls', 'best selling linen', 'selling linen']","LINEN IS BACK BABY, I’ve been waiting for Resort @shopweworewhat to bring back our best selling linen overalls and now you’ll be able to get them in shorts, long overalls, and two new styles I’ll reveal soon (and multiple colors).. dropping December 2nd!","LINEN IS BACK BABY, I’ve been waiting for Resort @shopweworewhat to bring back our best selling linen overalls and now you’ll be able to get them in shorts, long overalls, and two new styles I’ll reveal soon (and multiple colors).. dropping December 2nd!",True,True
3,weworewhat,"Heading to Sicily to shoot my Italy @weworewhatswim collection with @onia tonight! Can’t wait for this one, launching May 1st! #oniaxweworewhat",['#oniaxweworewhat'],"['onia', 'ericjavits', 'bambi_studios', 'shopweworewhat']","['onia', 'Eric Javits', 'Bambi Studios —', 'SHOP | WEWOREWHAT']",32211,376,False,False,,,"16/04/2019, 16:53:24",GraphSidecar,2023385792734637494,BwUgqh7hS22,[],US,mega,2019,US_mega,"['Heading to Sicily to shoot my Italy @weworewhatswim collection with @onia tonight!', 'Can’t wait for this one, launching May 1st!', '#oniaxweworewhat']",3,"[[], [], []]","Heading to Sicily to shoot my Italy @weworewhatswim collection with @onia tonight! Can’t wait for this one, launching May 1st!",heading to sicily to shoot my italy collection with tonight can t wait for this one launching may 1st,en,False,"{'Direct Sale': 1, 'Not Sponsored': 1, 'Endorsement': 1}",Not Sponsored,2019-04-16 16:53:24,737165,2019/04,heading to sicily to shoot my italy @weworewhatswim collection with @onia tonight can t wait for this one launching may 1st #oniaxweworewhat,False,False,"['with tonight can' 'heading to sicily' 'to sicily to' 'sicily to shoot'
 'collection with tonight']","['heading sicily shoot', 'shoot italy collection', 'shoot italy', 'heading sicily', 'sicily shoot italy']","Heading to Sicily to shoot my Italy @weworewhatswim collection with @onia tonight! Can’t wait for this one, launching May 1st! #oniaxweworewhat","Heading to Sicily to shoot my Italy @weworewhatswim collection with @onia tonight! Can’t wait for this one, launching May 1st! #oniaxweworewhat",False,True
4,weworewhat,Wearing white as a brunette is so much better 🙌🏻 full @mango look #mango,['#mango'],['mango'],['MANGO'],26761,320,False,False,,"Photo shared by Danielle Bernstein on September 23, 2018 tagging @mango. Image may contain: 1 person","23/09/2018, 16:02:35",GraphImage,1874781189682504522,BoEj48anCNK,[],US,mega,2018,US_mega,['Wearing white as a brunette is so much better 🙌🏻 full @mango look #mango'],1,[[]],Wearing white as a brunette is so much better 🙌🏻 full @mango look,wearing white as a brunette is so much better full look,en,False,"{'Not Sponsored': 1, 'Endorsement': 1}",Not Sponsored,2018-09-23 16:02:35,736960,2018/09,wearing white as a brunette is so much better full @mango look #mango,False,False,"['white as brunette' 'much better full' 'as brunette is'
 'better full look' 'brunette is so']","['white brunette better', 'wearing white brunette', 'white brunette', 'brunette better look', 'brunette better']",Wearing white as a brunette is so much better 🙌🏻 full @mango look #mango,Wearing white as a brunette is so much better 🙌🏻 full @mango look #mango,False,True
5,weworewhat,Of course @fwrd x @rtabrand throw a party at a sex club. Wearing an RTA skirt and @ysl top via FWRD #lookfwrd #fwrdtravels,"['#lookfwrd', '#fwrdtravels']","['fwrd', 'ysl', 'rtabrand']","['FORWARD by elyse walker', 'SAINT LAURENT', 'RtA']",24596,155,False,False,,"Photo shared by Danielle Bernstein on October 01, 2017 tagging @fwrd, @ysl, and @rtabrand. Image may contain: 1 person, standing and outdoor","02/10/2017, 00:35:07",GraphImage,1616294221373918853,BZuOwflgk6F,[],US,mega,2017,US_mega,"['Of course @fwrd x @rtabrand throw a party at a sex club.', 'Wearing an RTA skirt and @ysl top via FWRD #lookfwrd #fwrdtravels']",2,"[[], []]",Of course @fwrd x @rtabrand throw a party at a sex club. Wearing an RTA skirt and @ysl top via FWRD,of course x throw a party at a sex club wearing an rta skirt and top via fwrd,en,False,"{'Barter': 2, 'Endorsement': 1}",Barter,2017-10-02 00:35:07,736604,2017/10,of course @fwrd x @rtabrand throw a party at a sex club wearing an rta skirt and @ysl top via fwrd #lookfwrd #fwrdtravels,False,False,['party at sex' 'course throw' 'via fwrd' 'top via fwrd' 'throw party at'],"['party sex club', 'throw party sex', 'sex club wearing', 'party sex', 'sex club']",Of course @fwrd x @rtabrand throw a party at a sex club. Wearing an RTA skirt and @ysl top via FWRD #lookfwrd #fwrdtravels,Of course @fwrd x @rtabrand throw a party at a sex club. Wearing an RTA skirt and @ysl top via FWRD #lookfwrd #fwrdtravels,True,True
6,weworewhat,Today on WWW • getting ready for Fall with @7fam available at @bloomingdales,[],"['bloomingdales', '7forallmankind']","[""Bloomingdale's"", '7 FOR ALL MANKIND']",15542,74,False,False,,"Photo shared by Danielle Bernstein on September 15, 2017 tagging @bloomingdales, and @7forallmankind.","15/09/2017, 19:52:57",GraphImage,1604555790071517718,BZEhv1hglIW,[],US,mega,2017,US_mega,['Today on WWW • getting ready for Fall with @7fam available at @bloomingdales'],1,[[]],Today on WWW • getting ready for Fall with @7fam available at @bloomingdales,today on www getting ready for fall with available at,en,False,{'Endorsement': 2},Endorsement,2017-09-15 19:52:57,736587,2017/09,today on www getting ready for fall with @7fam available at @bloomingdales,False,False,"['www getting ready' 'www getting' 'with available at'
 'fall with available' 'on www getting']","['ready fall available', 'www getting ready', 'getting ready fall', 'ready fall', 'fall available']",Today on WWW • getting ready for Fall with @7fam available at @bloomingdales,Today on WWW • getting ready for Fall with @7fam available at @bloomingdales,True,True
7,weworewhat,been loving no eye makeup and a nude lip • wearing @hudabeauty flirt 👄 and @glossier boy brow 👁 got super minimal lashes by @christianzamorastudio too,[],['hudabeauty'],['HUDA KATTAN'],6684,98,False,False,,"Photo shared by Danielle Bernstein on August 29, 2017 tagging @hudabeauty.","29/08/2017, 20:38:39",GraphImage,1592257607526153441,BYY1dufgnzh,[],US,mega,2017,US_mega,['been loving no eye makeup and a nude lip • wearing @hudabeauty flirt 👄 and @glossier boy brow 👁 got super minimal lashes by @christianzamorastudio too'],1,[[]],been loving no eye makeup and a nude lip • wearing @hudabeauty flirt 👄 and @glossier boy brow 👁 got super minimal lashes by @christianzamorastudio too,been loving no eye makeup and a nude lip wearing flirt and boy brow got super minimal lashes by too,en,False,"{'Not Sponsored': 2, 'Endorsement': 1}",Not Sponsored,2017-08-29 20:38:39,736570,2017/08,been loving no eye makeup and a nude lip wearing @hudabeauty flirt and @glossier boy brow got super minimal lashes by @christianzamorastudio too,False,False,"['wearing flirt and' 'brow got' 'makeup and nude' 'lip wearing flirt'
 'minimal lashes']","['lip wearing flirt', 'flirt boy brow', 'eye makeup nude', 'makeup nude lip', 'loving eye makeup']",been loving no eye makeup and a nude lip • wearing @hudabeauty flirt 👄 and @glossier boy brow 👁 got super minimal lashes by @christianzamorastudio too,been loving no eye makeup and a nude lip • wearing @hudabeauty flirt 👄 and @glossier boy brow 👁 got super minimal lashes by @christianzamorastudio too,False,True
8,rossbutler,"Guess I'm part of the #btsarmy now? Acoustic cover of @bts.bighitofficial and @steveaoki #WasteItOnMe.

Extended version on my Twitter. Also dealing with horrible Los Angeles allergies at the moment. Yup.

#bts #kpop #actuallykpopthistime","['#btsarmy', '#WasteItOnMe.', '#bts', '#kpop', '#actuallykpopthistime']","['steveaoki', 'bts.bighitofficial']","['Steve Aoki', 'BTS official']",234806,4309,False,True,"Los Angeles, California",,"04/11/2018, 23:19:27",GraphVideo,1905470368712163648,BpxlzRpHwFA,[],US,mega,2018,US_mega,"[""Guess I'm part of the #btsarmy now?"", 'Acoustic cover of @bts.bighitofficial and @steveaoki #WasteItOnMe.', 'Extended version on my Twitter.', 'Also dealing with horrible Los Angeles allergies at the moment.', 'Yup.', '#bts #kpop #actuallykpopthistime']",6,"[[], [], [], [], [], []]",Guess I'm part of the now? Acoustic cover of @bts.bighitofficial and @steveaoki Extended version on my Twitter. Also dealing with horrible Los Angeles allergies at the moment. Yup.,guess part of the now acoustic cover of bighitofficial and extended version on my twitter also dealing with horrible los angeles allergies at the moment yup,en,False,"{'Direct Sale': 1, 'Not Sponsored': 2}",Not Sponsored,2018-11-04 23:19:27,737002,2018/11,guess i'm part of the #btsarmy now acoustic cover of @bts bighitofficial and @steveaoki #wasteitonme extended version on my twitter also dealing with horrible los angeles allergies at the moment yup #bts #kpop #actuallykpopthistime,False,False,"['the now acoustic' 'extended version on' 'bighitofficial and extended'
 'my twitter also' 'now acoustic']","['los angeles allergies', 'angeles allergies moment', 'allergies moment yup', 'angeles allergies', 'allergies moment']",Guess I'm part of the #btsarmy now? Acoustic cover of @bts.bighitofficial and @steveaoki #WasteItOnMe. Extended version on my Twitter. Also dealing with horrible Los Angeles allergies at the moment. Yup. #bts #kpop #actuallykpopthistime,Guess I'm part of the #btsarmy now? Acoustic cover of @bts.bighitofficial and @steveaoki #WasteItOnMe. Extended version on my Twitter. Also dealing with horrible Los Angeles allergies at the moment. Yup. #bts #kpop #actuallykpopthistime,False,False
9,rossbutler,Trying to get on a @christianleenavarro level of puppy selfies,[],[],[],455534,2405,False,False,,"Photo by Ross Butler on September 10, 2018. Image may contain: 1 person","10/09/2018, 18:13:29",GraphImage,1865424992709541614,BnjUiW9ln7u,[],US,mega,2018,US_mega,['Trying to get on a @christianleenavarro level of puppy selfies'],1,[[]],Trying to get on a @christianleenavarro level of puppy selfies,trying to get on a level of puppy selfies,en,False,{'Not Sponsored': 3},Not Sponsored,2018-09-10 18:13:29,736947,2018/09,trying to get on a @christianleenavarro level of puppy selfies,False,False,"['of puppy selfies' 'get on level' 'puppy selfies' 'level of puppy'
 'on level of']","['level puppy selfies', 'puppy selfies', 'selfies', 'trying level puppy', 'level puppy']",Trying to get on a @christianleenavarro level of puppy selfies,Trying to get on a @christianleenavarro level of puppy selfies,False,False
